feature_path: /home/yanda/Find_Physics_Zone/data/physics_features.pt
result_path: /home/yanda/Find_Physics_Zone/data/physics_probe_results.pt
num_samples: 1000
num_groups: 13

target stats:
  past_avg_speed: mean=6.461079, std=4.590510, min=0.000131, max=13.669900
  past_avg_yaw_rate: mean=0.117520, std=0.345270, min=-0.820861, max=1.339056
  past_heading_change: mean=0.352560, std=1.035810, min=-2.462581, max=4.017169
  future_speed: mean=6.486412, std=4.583001, min=0.000030, max=13.852595
  future_yaw_rate: mean=0.109618, std=0.459557, min=-1.597028, max=1.904219
  future_delta_yaw: mean=0.021924, std=0.091911, min=-0.319406, max=0.380844
  future_forward_progress: mean=1.297040, std=0.916930, min=-0.015063, max=2.770509
  future_lateral_offset: mean=0.000246, std=0.004928, min=-0.018418, max=0.018639
  future_speed_delta: mean=0.004315, std=0.126103, min=-0.342945, max=0.436749
  future_acc: mean=0.021574, std=0.630515, min=-1.714725, max=2.183747

===== summary sorted by r2: past_avg_speed =====
next_state_hidden | mse=0.043799 | mae=0.168976 | nmae=0.184284 | r2=0.947906 | pearson=0.974381
time_space_5    | mse=0.060052 | mae=0.189222 | nmae=0.206365 | r2=0.928574 | pearson=0.973078
tokenizer_last  | mse=0.344475 | mae=0.469872 | nmae=0.512441 | r2=0.590281 | pearson=0.774903
raw_pose_yaw_full | mse=0.869052 | mae=0.786272 | nmae=0.857505 | r2=-0.033650 | pearson=0.150959
raw_pose_yaw_past | mse=0.922416 | mae=0.832448 | nmae=0.907865 | r2=-0.097121 | pearson=-0.100084
==========================================

===== summary sorted by r2: future_lateral_offset =====
raw_pose_yaw_past | mse=0.000027 | mae=0.003861 | nmae=0.783580 | r2=-0.100317 | pearson=-0.062700
raw_pose_yaw_full | mse=0.000027 | mae=0.003895 | nmae=0.790471 | r2=-0.105276 | pearson=-0.024003
tokenizer_last  | mse=0.000027 | mae=0.003823 | nmae=0.775762 | r2=-0.111034 | pearson=0.020908
ar_5            | mse=0.000051 | mae=0.005592 | nmae=1.134859 | r2=-1.101440 | pearson=0.192956
ar_3            | mse=0.000056 | mae=0.005855 | nmae=1.188158 | r2=-1.295642 | pearson=0.196398
ar_2            | mse=0.000058 | mae=0.005873 | nmae=1.191825 | r2=-1.378595 | pearson=0.171198
ar_1            | mse=0.000061 | mae=0.006026 | nmae=1.222881 | r2=-1.523457 | pearson=0.153969
ar_0            | mse=0.000062 | mae=0.006044 | nmae=1.226610 | r2=-1.561330 | pearson=0.141841
ar_4            | mse=0.000066 | mae=0.006200 | nmae=1.258272 | r2=-1.700397 | pearson=0.166302
next_state_hidden | mse=0.000091 | mae=0.007194 | nmae=1.459971 | r2=-2.767799 | pearson=0.062221
time_space_1    | mse=0.000093 | mae=0.007307 | nmae=1.482831 | r2=-2.819674 | pearson=0.002273
time_space_10   | mse=0.000093 | mae=0.007083 | nmae=1.437289 | r2=-2.843666 | pearson=0.178734
time_space_0    | mse=0.000094 | mae=0.007573 | nmae=1.536850 | r2=-2.865876 | pearson=-0.096973
time_space_11   | mse=0.000098 | mae=0.007466 | nmae=1.515088 | r2=-3.054486 | pearson=0.054609
time_space_9    | mse=0.000105 | mae=0.007748 | nmae=1.572367 | r2=-3.303605 | pearson=0.107809
time_space_6    | mse=0.000110 | mae=0.007979 | nmae=1.619153 | r2=-3.534650 | pearson=0.041169
time_space_8    | mse=0.000114 | mae=0.008062 | nmae=1.636078 | r2=-3.709254 | pearson=0.059699
time_space_2    | mse=0.000127 | mae=0.008809 | nmae=1.787562 | r2=-4.215319 | pearson=-0.069044
time_space_7    | mse=0.000136 | mae=0.008767 | nmae=1.779218 | r2=-4.590759 | pearson=0.012525
time_space_5    | mse=0.000142 | mae=0.008855 | nmae=1.796918 | r2=-4.833644 | pearson=-0.031440
time_space_3    | mse=0.000167 | mae=0.009998 | nmae=2.029019 | r2=-5.867991 | pearson=0.014516
time_space_4    | mse=0.000207 | mae=0.011036 | nmae=2.239567 | r2=-7.534838 | pearson=-0.001476
==========================================

===== summary sorted by r2: future_speed_delta =====
raw_pose_yaw_past | mse=0.017549 | mae=0.094872 | nmae=0.752338 | r2=-0.103579 | pearson=-0.073695
raw_pose_yaw_full | mse=0.018375 | mae=0.097468 | nmae=0.772927 | r2=-0.155511 | pearson=-0.203607
ar_3            | mse=0.020126 | mae=0.109932 | nmae=0.871765 | r2=-0.265622 | pearson=0.404431
tokenizer_last  | mse=0.022126 | mae=0.106000 | nmae=0.840585 | r2=-0.391398 | pearson=-0.288064
ar_4            | mse=0.023228 | mae=0.121303 | nmae=0.961939 | r2=-0.460699 | pearson=0.328546
ar_2            | mse=0.024159 | mae=0.119044 | nmae=0.944020 | r2=-0.519234 | pearson=0.290055
ar_0            | mse=0.024683 | mae=0.124834 | nmae=0.989936 | r2=-0.552216 | pearson=0.379208
time_space_9    | mse=0.024806 | mae=0.123078 | nmae=0.976008 | r2=-0.559907 | pearson=0.414161
ar_5            | mse=0.025882 | mae=0.124590 | nmae=0.988003 | r2=-0.627582 | pearson=0.218812
next_state_hidden | mse=0.027614 | mae=0.131146 | nmae=1.039990 | r2=-0.736544 | pearson=0.308979
ar_1            | mse=0.028399 | mae=0.130104 | nmae=1.031731 | r2=-0.785903 | pearson=0.301736
time_space_11   | mse=0.028731 | mae=0.133130 | nmae=1.055725 | r2=-0.806727 | pearson=0.290972
time_space_8    | mse=0.030040 | mae=0.137632 | nmae=1.091427 | r2=-0.889079 | pearson=0.414514
time_space_10   | mse=0.030143 | mae=0.126893 | nmae=1.006265 | r2=-0.895564 | pearson=0.237346
time_space_0    | mse=0.030792 | mae=0.136219 | nmae=1.080217 | r2=-0.936358 | pearson=0.135330
time_space_2    | mse=0.036891 | mae=0.155632 | nmae=1.234169 | r2=-1.319887 | pearson=0.216211
time_space_1    | mse=0.038526 | mae=0.155629 | nmae=1.234140 | r2=-1.422714 | pearson=0.165076
time_space_3    | mse=0.040746 | mae=0.161045 | nmae=1.277089 | r2=-1.562308 | pearson=0.190774
time_space_4    | mse=0.044299 | mae=0.158699 | nmae=1.258489 | r2=-1.785774 | pearson=0.124070
time_space_5    | mse=0.049596 | mae=0.161384 | nmae=1.279782 | r2=-2.118852 | pearson=0.201464
time_space_7    | mse=0.051079 | mae=0.177598 | nmae=1.408360 | r2=-2.212096 | pearson=0.267296
time_space_6    | mse=0.052186 | mae=0.172290 | nmae=1.366262 | r2=-2.281740 | pearson=0.168953
==========================================

===== summary sorted by r2: future_acc =====
raw_pose_yaw_past | mse=0.438727 | mae=0.474360 | nmae=0.752338 | r2=-0.103579 | pearson=-0.073695
raw_pose_yaw_full | mse=0.459373 | mae=0.487342 | nmae=0.772927 | r2=-0.155511 | pearson=-0.203607
ar_3            | mse=0.503147 | mae=0.549661 | nmae=0.871765 | r2=-0.265622 | pearson=0.404431
tokenizer_last  | mse=0.553149 | mae=0.530002 | nmae=0.840585 | r2=-0.391397 | pearson=-0.288064
ar_4            | mse=0.580698 | mae=0.606516 | nmae=0.961937 | r2=-0.460693 | pearson=0.328546
ar_2            | mse=0.603970 | mae=0.595218 | nmae=0.944019 | r2=-0.519231 | pearson=0.290056
ar_0            | mse=0.617083 | mae=0.624170 | nmae=0.989937 | r2=-0.552218 | pearson=0.379208
time_space_9    | mse=0.620139 | mae=0.615387 | nmae=0.976006 | r2=-0.559903 | pearson=0.414161
ar_5            | mse=0.647042 | mae=0.622950 | nmae=0.988001 | r2=-0.627576 | pearson=0.218813
next_state_hidden | mse=0.690363 | mae=0.655730 | nmae=1.039990 | r2=-0.736546 | pearson=0.308978
ar_1            | mse=0.709984 | mae=0.650522 | nmae=1.031731 | r2=-0.785901 | pearson=0.301736
time_space_11   | mse=0.718262 | mae=0.665650 | nmae=1.055724 | r2=-0.806724 | pearson=0.290974
time_space_8    | mse=0.751000 | mae=0.688161 | nmae=1.091426 | r2=-0.889073 | pearson=0.414516
time_space_10   | mse=0.753581 | mae=0.634464 | nmae=1.006263 | r2=-0.895564 | pearson=0.237344
time_space_0    | mse=0.769795 | mae=0.681089 | nmae=1.080210 | r2=-0.936351 | pearson=0.135334
time_space_2    | mse=0.922268 | mae=0.778163 | nmae=1.234170 | r2=-1.319883 | pearson=0.216210
time_space_1    | mse=0.963140 | mae=0.778141 | nmae=1.234135 | r2=-1.422694 | pearson=0.165079
time_space_3    | mse=1.018646 | mae=0.805226 | nmae=1.277093 | r2=-1.562314 | pearson=0.190772
time_space_4    | mse=1.107487 | mae=0.793498 | nmae=1.258491 | r2=-1.785783 | pearson=0.124067
time_space_5    | mse=1.239896 | mae=0.806920 | nmae=1.279778 | r2=-2.118847 | pearson=0.201465
time_space_7    | mse=1.276960 | mae=0.887989 | nmae=1.408355 | r2=-2.212079 | pearson=0.267295
time_space_6    | mse=1.304652 | mae=0.861447 | nmae=1.366260 | r2=-2.281735 | pearson=0.168953
==========================================

===== AGS group summary sorted by mean r2 =====
ar_3            | mean_mse=0.228066 | mean_mae=0.265891 | mean_nmae=0.619341 | mean_r2=0.150384 | mean_pearson=0.630574
ar_5            | mean_mse=0.235639 | mean_mae=0.267266 | mean_nmae=0.626714 | mean_r2=0.107289 | mean_pearson=0.597014
ar_2            | mean_mse=0.223310 | mean_mae=0.266053 | mean_nmae=0.635254 | mean_r2=0.072104 | mean_pearson=0.600050
ar_4            | mean_mse=0.229880 | mean_mae=0.270310 | mean_nmae=0.647887 | mean_r2=0.051901 | mean_pearson=0.614257
ar_0            | mean_mse=0.235104 | mean_mae=0.278068 | mean_nmae=0.656837 | mean_r2=0.041062 | mean_pearson=0.624924
